TFLO,50.27,0,0.03,0,0,0,0,0,0,-100,-100,-100
TVLF,7.45,0,0,0,0,0,0,0,0,-100,-100,-100
HYAC,9.65,384600000.0,0,0,0,0,0,0,0,-100,-100,-100
NGC.U,0,0,0,0,0,0,0,0,0,-100,-100,-100
ICBU,0.0065,25200000.0,0,0,0,0,0,0,0,-100,-100,-100
URAYY,0.0,0,0,1,0,0,1,0,0,-100,-100,-100
GCTAY,5.75,0,0.21,24,4,1,11,3,5,-27.65,-0.52,43.65
EMBH,23.69,0,2.53,0,0,0,0,0,0,-100,-100,-100
BYITY,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
ATVC,9.7,334650000.0,0,0,0,0,0,0,0,-100,-100,-100
JPXN,72.03,0,1.49,0,0,0,0,0,0,-100,-100,-100
CYZN,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
IRVRF,1.23,80880000.0,0,0,0,0,0,0,0,-100,-100,-100
HPI,21.95,574740000.0,6.76,0,0,0,0,0,0,-100,-100,-100
DPZUF,0.0,0,1.26,12,4,2,3,0,3,-100,-100,-100
LPDNF,0.0,87830000.0,0,0,0,0,0,0,0,-100,-100,-100
JDST,11.7,0,0,0,0,0,0,0,0,-100,-100,-100
TKGSY,9.48,0,2.95,7,3,0,4,0,0,-100,-100,-100
PRSNF,0.0421,14280000.0,0,0,0,0,0,0,0,-100,-100,-100
BTN,3.77,69170000.0,0,1,1,0,0,0,0,59.15,59.15,59.15
UELKY,0.0,797310000.0,3.89,11,9,0,2,0,0,-100,-100,-100
APLIF,0.625,37050000.0,0,0,0,0,0,0,0,-100,-100,-100
BMTX,10.83,135180000.0,0,2,2,0,0,0,0,84.67,107.76,130.84
SEEL,2.18,220970000.0,0,6,5,0,1,0,0,83.49,312.84,588.07
BVZHF,0.0,171640000.0,0,0,0,0,0,0,0,-100,-100,-100
SDOW,30.71,0,0,0,0,0,0,0,0,-100,-100,-100
SJB,17.87,0,0,0,0,0,0,0,0,-100,-100,-100
WSCO,0.0,2990000.0,0,0,0,0,0,0,0,-100,-100,-100
BMMVF,0.0,0,7.41,0,0,0,0,0,0,-100,-100,-100
HCYT,0.0463,6890000.0,0,1,0,0,1,0,0,3679.7,3679.7,3679.7
CGAC,0.0035,0,0,0,0,0,0,0,0,-100,-100,-100
GMRMF,0.0,10550000.0,0,0,0,0,0,0,0,-100,-100,-100
DCAC,0.0033,1490000.0,0,0,0,0,0,0,0,-100,-100,-100
RUSMF,28.04,0,4.46,7,3,1,3,0,0,21.26,28.39,39.09
XVIPF,0.0,0,0,3,3,0,0,0,0,-100,-100,-100
HSY,179.2,36797000000.0,2.02,20,8,0,11,1,0,-2.9,3.24,12.72
ENDP,4.75,1006000000.0,0,10,2,0,6,0,2,-36.84,57.89,131.58
EVFM,0.81,122010000.0,0,4,3,0,1,0,0,270.37,455.56,517.28
ABCP,0.0,11890000.0,0,0,0,0,0,0,0,-100,-100,-100
CODLY,0.0,0,0,4,2,0,2,0,0,-100,-100,-100
SILS,0.09,0,0,0,0,0,0,0,0,-100,-100,-100
EWW,49.24,0,2.05,0,0,0,0,0,0,-100,-100,-100
TBABY,0.0,0,0,9,5,0,4,0,0,-100,-100,-100
LTELF,0.0,48500000.0,0,1,1,0,0,0,0,-100,-100,-100
PMCCF,0.0782,7680000.0,0,0,0,0,0,0,0,-100,-100,-100
TNET,87.0,5744000000.0,0,5,3,0,2,0,0,-2.3,4.02,22.99
OPMG,0.0,0,0,0,0,0,0,0,0,-100,-100,-100
MXCT,14.88,0,0,1,1,0,0,0,0,16.26,16.26,16.26
BJURF,0.01,82030000.0,0,1,0,0,1,0,0,3200.0,3200.0,3200.0
HDIH,0.0145,0,0,0,0,0,0,0,0,-100,-100,-100
CYRN,0.6,43860000.0,0,1,1,0,0,0,0,150.0,150.0,150.0
STT,89.02,30915000000.0,2.53,19,8,2,9,0,0,-3.39,7.84,31.43
FORTY,91.6,1387000000.0,1.28,1,0,0,1,0,0,-69.43,-69.43,-69.43
CRBKF,0.0,0,0,2,1,0,1,0,0,-100,-100,-100
FNDB,54.7,0,1.7,0,0,0,0,0,0,-100,-100,-100
BSEP,32.08,0,0,0,0,0,0,0,0,-100,-100,-100
IELLF,0.0,394480000.0,0,2,1,0,1,0,0,-100,-100,-100
AOZOY,0.0,0,4.96,6,1,1,2,0,2,-100,-100,-100
VVI,45.46,860360000.0,0,3,2,0,1,0,0,23.19,27.58,31.98
PTEST.X,0,0,0,0,0,0,0,0,0,-100,-100,-100
CIK,3.49,183050000.0,7.71,0,0,0,0,0,0,-100,-100,-100
PGUUF,0.0,0,5.24,10,6,1,3,0,0,-100,-100,-100
FNCH,14.23,654400000.0,0,2,2,0,0,0,0,103.79,121.36,138.93
DNPCF,0.0,0,2.5,3,3,0,0,0,0,-100,-100,-100
FJTSF,0.0,0,1.04,19,13,0,5,0,1,-100,-100,-100
CMLT,10.23,688620000.0,0,0,0,0,0,0,0,-100,-100,-100
CITZ,26.75,24740000.0,1.27,0,0,0,0,0,0,-100,-100,-100
EVLLF,0.299,28360000.0,0,0,0,0,0,0,0,-100,-100,-100
ERJ,14.63,2708000000.0,7.35,11,5,0,6,0,0,-11.14,29.87,50.38
